version type id name
1.0 0 1 tile.stone
1.0 0 2 tile.grass
1.0 0 3 tile.dirt
1.0 0 4 tile.stonebrick
1.0 0 5 tile.wood
1.0 0 6 tile.sapling
1.0 0 7 tile.bedrock
1.0 0 8 tile.water
1.0 0 9 tile.water
1.0 0 10 tile.lava
1.0 0 11 tile.lava
1.0 0 12 tile.sand
1.0 0 13 tile.gravel
1.0 0 14 tile.oreGold
1.0 0 15 tile.oreIron
1.0 0 16 tile.oreCoal
1.0 0 17 tile.log
1.0 0 18 tile.leaves
1.0 0 19 tile.sponge
1.0 0 20 tile.glass
1.0 0 21 tile.oreLapis
1.0 0 22 tile.blockLapis
1.0 0 23 tile.dispenser
1.0 0 24 tile.sandStone
1.0 0 25 tile.musicBlock
1.0 0 26 tile.bed
1.0 0 27 tile.goldenRail
1.0 0 28 tile.detectorRail
1.0 0 29 tile.pistonStickyBase
1.0 0 30 tile.web
1.0 0 31 tile.tallgrass
1.0 0 32 tile.deadbush
1.0 0 33 tile.pistonBase
1.0 0 34 null
1.0 0 35 tile.cloth
1.0 0 36 null
1.0 0 37 tile.flower
1.0 0 38 tile.rose
1.0 0 39 tile.mushroom
1.0 0 40 tile.mushroom
1.0 0 41 tile.blockGold
1.0 0 42 tile.blockIron
1.0 0 43 tile.stoneSlab
1.0 0 44 tile.stoneSlab
1.0 0 45 tile.brick
1.0 0 46 tile.tnt
1.0 0 47 tile.bookshelf
1.0 0 48 tile.stoneMoss
1.0 0 49 tile.obsidian
1.0 0 50 tile.torch
1.0 0 51 tile.fire
1.0 0 52 tile.mobSpawner
1.0 0 53 tile.stairsWood
1.0 0 54 tile.chest
1.0 0 55 tile.redstoneDust
1.0 0 56 tile.oreDiamond
1.0 0 57 tile.blockDiamond
1.0 0 58 tile.workbench
1.0 0 59 tile.crops
1.0 0 60 tile.farmland
1.0 0 61 tile.furnace
1.0 0 62 tile.furnace
1.0 0 63 tile.sign
1.0 0 64 tile.doorWood
1.0 0 65 tile.ladder
1.0 0 66 tile.rail
1.0 0 67 tile.stairsStone
1.0 0 68 tile.sign
1.0 0 69 tile.lever
1.0 0 70 tile.pressurePlate
1.0 0 71 tile.doorIron
1.0 0 72 tile.pressurePlate
1.0 0 73 tile.oreRedstone
1.0 0 74 tile.oreRedstone
1.0 0 75 tile.notGate
1.0 0 76 tile.notGate
1.0 0 77 tile.button
1.0 0 78 tile.snow
1.0 0 79 tile.ice
1.0 0 80 tile.snow
1.0 0 81 tile.cactus
1.0 0 82 tile.clay
1.0 0 83 tile.reeds
1.0 0 84 tile.jukebox
1.0 0 85 tile.fence
1.0 0 86 tile.pumpkin
1.0 0 87 tile.hellrock
1.0 0 88 tile.hellsand
1.0 0 89 tile.lightgem
1.0 0 90 tile.portal
1.0 0 91 tile.litpumpkin
1.0 0 92 tile.cake
1.0 0 93 tile.diode
1.0 0 94 tile.diode
1.0 0 95 tile.lockedchest
1.0 0 96 tile.trapdoor
1.0 0 97 tile.monsterStoneEgg
1.0 0 98 tile.stonebricksmooth
1.0 0 99 tile.mushroom
1.0 0 100 tile.mushroom
1.0 0 101 tile.fenceIron
1.0 0 102 tile.thinGlass
1.0 0 103 tile.melon
1.0 0 104 tile.pumpkinStem
1.0 0 105 tile.pumpkinStem
1.0 0 106 tile.vine
1.0 0 107 tile.fenceGate
1.0 0 108 tile.stairsBrick
1.0 0 109 tile.stairsStoneBrickSmooth
1.0 0 110 tile.mycel
1.0 0 111 tile.waterlily
1.0 0 112 tile.netherBrick
1.0 0 113 tile.netherFence
1.0 0 114 tile.stairsNetherBrick
1.0 0 115 tile.netherStalk
1.0 0 116 tile.enchantmentTable
1.0 0 117 tile.brewingStand
1.0 0 118 tile.cauldron
1.0 0 119 null
1.0 0 120 tile.endPortalFrame
1.0 0 121 tile.whiteStone
1.0 0 122 tile.dragonEgg
1.2.1 0 123 tile.redstoneLight
1.2.1 0 124 tile.redstoneLight
1.0 0 125 tile.woodSlab
1.0 0 126 tile.woodSlab
1.3.1 0 127 tile.cocoa
1.0 0 128 tile.stairsSandStone
1.0 0 129 tile.oreEmerald
1.0 0 130 tile.enderChest
1.0 0 131 tile.tripWireSource
1.0 0 132 tile.tripWire
1.0 0 133 tile.blockEmerald
1.0 0 134 tile.stairsWoodSpruce
1.0 0 135 tile.stairsWoodBirch
1.0 0 136 tile.stairsWoodJungle
1.0 0 137 tile.commandBlock
1.0 0 138 tile.beacon
1.0 0 139 tile.cobbleWall
1.0 0 140 tile.flowerPot
1.0 0 141 tile.carrots
1.0 0 142 tile.potatoes
1.0 0 143 tile.button
1.0 0 144 tile.skull
1.0 0 145 tile.anvil
1.0 1 1 tile.stone
1.0 1 2 tile.grass
1.0 1 3 tile.dirt
1.0 1 4 tile.stonebrick
1.0 1 5 tile.wood
1.0 1 6 tile.sapling
1.0 1 7 tile.bedrock
1.0 1 8 tile.water
1.0 1 9 tile.water
1.0 1 10 tile.lava
1.0 1 11 tile.lava
1.0 1 12 tile.sand
1.0 1 13 tile.gravel
1.0 1 14 tile.oreGold
1.0 1 15 tile.oreIron
1.0 1 16 tile.oreCoal
1.0 1 17 tile.log
1.0 1 18 tile.leaves
1.0 1 19 tile.sponge
1.0 1 20 tile.glass
1.0 1 21 tile.oreLapis
1.0 1 22 tile.blockLapis
1.0 1 23 tile.dispenser
1.0 1 24 tile.sandStone
1.0 1 25 tile.musicBlock
1.0 1 26 tile.bed
1.0 1 27 tile.goldenRail
1.0 1 28 tile.detectorRail
1.0 1 29 tile.pistonStickyBase
1.0 1 30 tile.web
1.0 1 31 tile.tallgrass
1.0 1 32 tile.deadbush
1.0 1 33 tile.pistonBase
1.0 1 34 null
1.0 1 35 tile.cloth
1.0 1 36 null
1.0 1 37 tile.flower
1.0 1 38 tile.rose
1.0 1 39 tile.mushroom
1.0 1 40 tile.mushroom
1.0 1 41 tile.blockGold
1.0 1 42 tile.blockIron
1.0 1 43 tile.stoneSlab
1.0 1 44 tile.stoneSlab
1.0 1 45 tile.brick
1.0 1 46 tile.tnt
1.0 1 47 tile.bookshelf
1.0 1 48 tile.stoneMoss
1.0 1 49 tile.obsidian
1.0 1 50 tile.torch
1.0 1 51 tile.fire
1.0 1 52 tile.mobSpawner
1.0 1 53 tile.stairsWood
1.0 1 54 tile.chest
1.0 1 55 tile.redstoneDust
1.0 1 56 tile.oreDiamond
1.0 1 57 tile.blockDiamond
1.0 1 58 tile.workbench
1.0 1 59 tile.crops
1.0 1 60 tile.farmland
1.0 1 61 tile.furnace
1.0 1 62 tile.furnace
1.0 1 63 tile.sign
1.0 1 64 tile.doorWood
1.0 1 65 tile.ladder
1.0 1 66 tile.rail
1.0 1 67 tile.stairsStone
1.0 1 68 tile.sign
1.0 1 69 tile.lever
1.0 1 70 tile.pressurePlate
1.0 1 71 tile.doorIron
1.0 1 72 tile.pressurePlate
1.0 1 73 tile.oreRedstone
1.0 1 74 tile.oreRedstone
1.0 1 75 tile.notGate
1.0 1 76 tile.notGate
1.0 1 77 tile.button
1.0 1 78 tile.snow
1.0 1 79 tile.ice
1.0 1 80 tile.snow
1.0 1 81 tile.cactus
1.0 1 82 tile.clay
1.0 1 83 tile.reeds
1.0 1 84 tile.jukebox
1.0 1 85 tile.fence
1.0 1 86 tile.pumpkin
1.0 1 87 tile.hellrock
1.0 1 88 tile.hellsand
1.0 1 89 tile.lightgem
1.0 1 90 tile.portal
1.0 1 91 tile.litpumpkin
1.0 1 92 tile.cake
1.0 1 93 tile.diode
1.0 1 94 tile.diode
1.0 1 95 tile.lockedchest
1.0 1 96 tile.trapdoor
1.0 1 97 tile.monsterStoneEgg
1.0 1 98 tile.stonebricksmooth
1.0 1 99 tile.mushroom
1.0 1 100 tile.mushroom
1.0 1 101 tile.fenceIron
1.0 1 102 tile.thinGlass
1.0 1 103 tile.melon
1.0 1 104 tile.pumpkinStem
1.0 1 105 tile.pumpkinStem
1.0 1 106 tile.vine
1.0 1 107 tile.fenceGate
1.0 1 108 tile.stairsBrick
1.0 1 109 tile.stairsStoneBrickSmooth
1.0 1 110 tile.mycel
1.0 1 111 tile.waterlily
1.0 1 112 tile.netherBrick
1.0 1 113 tile.netherFence
1.0 1 114 tile.stairsNetherBrick
1.0 1 115 tile.netherStalk
1.0 1 116 tile.enchantmentTable
1.0 1 117 tile.brewingStand
1.0 1 118 tile.cauldron
1.0 1 119 null
1.0 1 120 tile.endPortalFrame
1.0 1 121 tile.whiteStone
1.0 1 122 tile.dragonEgg
1.0 1 123 tile.redstoneLight
1.0 1 124 tile.redstoneLight
1.0 1 125 tile.woodSlab
1.0 1 126 tile.woodSlab
1.3.1 1 127 tile.cocoa
1.0 1 128 tile.stairsSandStone
1.0 1 129 tile.oreEmerald
1.0 1 130 tile.enderChest
1.0 1 131 tile.tripWireSource
1.0 1 132 tile.tripWire
1.0 1 133 tile.blockEmerald
1.0 1 134 tile.stairsWoodSpruce
1.0 1 135 tile.stairsWoodBirch
1.0 1 136 tile.stairsWoodJungle
1.0 1 137 tile.commandBlock
1.0 1 138 tile.beacon
1.0 1 139 tile.cobbleWall
1.0 1 140 tile.flowerPot
1.0 1 141 tile.carrots
1.0 1 142 tile.potatoes
1.0 1 143 tile.button
1.0 1 144 tile.skull
1.0 1 145 tile.anvil
1.0 1 256 item.shovelIron
1.0 1 257 item.pickaxeIron
1.0 1 258 item.hatchetIron
1.0 1 259 item.flintAndSteel
1.0 1 260 item.apple
1.0 1 261 item.bow
1.0 1 262 item.arrow
1.0 1 263 item.coal
1.0 1 264 item.diamond
1.0 1 265 item.ingotIron
1.0 1 266 item.ingotGold
1.0 1 267 item.swordIron
1.0 1 268 item.swordWood
1.0 1 269 item.shovelWood
1.0 1 270 item.pickaxeWood
1.0 1 271 item.hatchetWood
1.0 1 272 item.swordStone
1.0 1 273 item.shovelStone
1.0 1 274 item.pickaxeStone
1.0 1 275 item.hatchetStone
1.0 1 276 item.swordDiamond
1.0 1 277 item.shovelDiamond
1.0 1 278 item.pickaxeDiamond
1.0 1 279 item.hatchetDiamond
1.0 1 280 item.stick
1.0 1 281 item.bowl
1.0 1 282 item.mushroomStew
1.0 1 283 item.swordGold
1.0 1 284 item.shovelGold
1.0 1 285 item.pickaxeGold
1.0 1 286 item.hatchetGold
1.0 1 287 item.string
1.0 1 288 item.feather
1.0 1 289 item.sulphur
1.0 1 290 item.hoeWood
1.0 1 291 item.hoeStone
1.0 1 292 item.hoeIron
1.0 1 293 item.hoeDiamond
